,lon,lat,İlçe,yil,BEDD1,BEDD2,BEDD3,BEDD4,BEDD5,BEDD6,BEDD7,BEDD8,BEDD9,BEDD10,BEDD11,BEDD12,DTR1,DTR2,DTR3,DTR4,DTR5,DTR6,DTR7,DTR8,DTR9,DTR10,DTR11,DTR12,FD1,FD2,FD3,FD4,FD5,FD6,FD7,FD8,FD9,FD10,FD11,FD12,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,R10mm1,R10mm2,R10mm3,R10mm4,R10mm5,R10mm6,R10mm7,R10mm8,R10mm9,R10mm10,R10mm11,R10mm12,R20mm1,R20mm2,R20mm3,R20mm4,R20mm5,R20mm6,R20mm7,R20mm8,R20mm9,R20mm10,R20mm11,R20mm12,RRt1,RRt2,RRt3,RRt4,RRt5,RRt6,RRt7,RRt8,RRt9,RRt10,RRt11,RRt12,RR11,RR12,RR13,RR14,RR15,RR16,RR17,RR18,RR19,RR110,RR111,RR112,SU1,SU2,SU3,SU4,SU5,SU6,SU7,SU8,SU9,SU10,SU11,SU12,TG1,TG2,TG3,TG4,TG5,TG6,TG7,TG8,TG9,TG10,TG11,TG12,TN1,TN2,TN3,TN4,TN5,TN6,TN7,TN8,TN9,TN10,TN11,TN12,TNn1,TNn2,TNn3,TNn4,TNn5,TNn6,TNn7,TNn8,TNn9,TNn10,TNn11,TNn12,TNx1,TNx2,TNx3,TNx4,TNx5,TNx6,TNx7,TNx8,TNx9,TNx10,TNx11,TNx12,TR1,TR2,TR3,TR4,TR5,TR6,TR7,TR8,TR9,TR10,TR11,TR12,TX1,TX2,TX3,TX4,TX5,TX6,TX7,TX8,TX9,TX10,TX11,TX12,TXn1,TXn2,TXn3,TXn4,TXn5,TXn6,TXn7,TXn8,TXn9,TXn10,TXn11,TXn12,TXx1,TXx2,TXx3,TXx4,TXx5,TXx6,TXx7,TXx8,TXx9,TXx10,TXx11,TXx12,Bölge,Buğday Verim,Arpa Verim
0,40.75,32.75,Kızılcahamam,2020,4.821258433,18.43836467,48.998149,91.83342333,155.8934733,180.1819767,206.5275167,206.6666667,189.9614467,161.7967933,79.431122,12.268148,11.24626283,12.06602383,11.28924767,12.889968,14.45194767,16.27875383,16.732319,15.445271,17.730184,18.608329,11.802064,10.565103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,5.611096,9.282615633,24.195284,20.81541943,8.641318733,0.086665795,0.0,0,0.000626581,0.378386793,8.476503,19.67311033,2,4,14,4,5,0,0,0,0,0,5,7,0,1,2,17,31,30,31,31,30,31,15,1,9.035323333,11.81636,14.86313667,19.33333333,25.23155667,28.77613,32.4398,32.22065667,29.41499333,25.91124667,18.09311333,11.203,3.854243333,6.245356667,9.32085,12.86883,18.05452667,20.69930667,24.39359333,24.95258667,21.38726333,17.93418667,12.78404333,6.276683333,1.68641,3.35568,7.038003333,9.861546667,14.12764333,18.24962333,22.41488,22.84222333,19.31032333,15.40069667,8.670373333,4.002663333,6.90929,8.490673333,11.73970667,17.52744333,21.31392667,23.71729667,25.90623667,27.71298,22.81864667,20.92143333,16.78057667,9.87216,0,0,0,0,6,19,31,31,23,6,1,0,15.10048667,18.31139,20.61009,25.75881667,32.50648,36.97807667,41.12591333,40.39785667,39.11745333,36.54253333,24.58610333,16.84179,10.38834,13.28301,17.97645,21.16862,27.21003667,33.64456333,39.21165,39.07343667,36.70692667,34.48645,20.96728,13.6371,19.8318,23.97252333,24.93032667,32.15677667,36.99478333,40.45713333,43.16634667,41.40978667,40.79607333,38.69981667,27.68882,21.70264667,3,214.88180953,190.58957212
1,40.75,32.75,Kızılcahamam,2021,20.848755,34.929026,51.00262467,81.93074467,170.1586333,191.54295,205.9095767,206.51594,193.0909633,149.9176033,51.20587233,6.080556267,8.195203167,10.61632333,13.697212,13.905021,15.58912133,17.14696,17.20735667,16.821087,18.105064,14.95648167,11.05738633,13.720846,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.431975,8.049886933,1.246363123,8.596525167,2.507276,0.01697803,0.0,0,0.006419391,2.986322667,6.497140467,2.922710333,1,5,1,4,1,0,0,0,0,3,4,2,0,0,4,16,31,30,31,31,30,28,4,0,12.08874333,13.92758,15.07625,18.34305667,26.76475333,30.07346,32.39091333,32.80292667,30.05577667,24.74878333,15.26806333,9.145243333,8.458723333,8.81362,8.349873333,11.3013,18.99957333,21.56714,24.29137,24.98227333,21.90468667,18.03493333,10.38543333,3.3489,5.375936667,4.654813333,5.338686667,8.421336667,15.91332,19.46381667,22.85366,23.15773333,20.02391333,15.27988,7.957926667,0.559803333,10.52038333,12.25780333,11.6416,14.07784,22.62234,24.48298,26.30308,27.21679333,23.84054333,20.91333,12.67176667,7.782836667,0,0,0,0,12,21,31,31,27,4,0,0,16.65392,19.42995,22.04706667,25.20631,34.5887,38.71409667,41.49873333,41.80337667,40.00975667,32.99140333,21.44285333,17.06974,12.76195667,16.86925,17.64073333,21.70724667,29.90053667,36.19391667,39.85848,39.22561,37.10286667,29.47315,18.86613,13.63866333,19.76244,21.82775667,27.67225333,28.78705667,38.12248333,41.49632,44.47056,44.28598333,42.12957667,36.60048333,24.84060333,22.45648,3,214.88835948,174.76271419
2,40.75,32.75,Kızılcahamam,2022,2.341430653,15.2141215,65.013254,135.5811667,169.4188333,186.9213967,204.8942567,203.4430233,188.3021033,143.8613787,77.812175,30.82825667,13.604886,12.58697767,13.98402733,15.09061733,16.78680067,17.30524967,18.02862967,16.521448,16.822,12.18815433,7.7566416,9.015366667,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.918978333,6.1087035,6.002379,5.718691667,1.184372859,0.004965213,0.0,0,0.512983733,11.344045,9.182397333,11.20455033,1,5,3,2,1,0,0,0,0,4,3,7,0,0,10,28,31,30,31,31,30,26,0,0,8.47386,11.43246,16.38256667,23.70811,26.74321333,29.78583667,32.31037333,31.46174333,29.76123667,24.16454,17.93122667,12.68444333,2.271933333,5.459943333,9.46627,16.06409667,18.08605333,21.20158667,23.64843667,23.64939,22.02579333,18.79088333,14.49933333,8.560446667,0.175966667,3.71319,6.649676667,12.61452333,14.48843333,19.03211667,20.85810667,21.55193,20.60516,16.72779667,12.13934,4.962943333,5.013016667,8.615003333,13.03385,20.46995667,22.56454333,25.29281333,26.38234333,25.20254667,24.09542,20.85329333,17.78128,13.07040667,0,0,0,3,12,18,30,31,29,6,0,0,15.87682333,18.04692667,23.4503,31.15474,34.87283667,38.50680333,41.67706667,40.17083333,38.84781,30.97904,22.25596,17.57580333,11.64571,14.57026667,18.26190333,25.09842333,31.01739333,34.63676,37.50862667,37.26739333,35.61289667,26.54143,20.29371333,13.08454333,20.14774333,21.01179,30.04388333,36.33830667,39.40418333,43.50699,44.72828,41.97160667,41.09026333,35.26289667,24.24842333,23.66114333,3,214.88752967,191.76472673
3,40.75,32.75,Kızılcahamam,2023,3.5035604,18.4135741,62.14421667,103.1528117,149.9366267,197.25641,206.6666667,206.5600167,190.9460267,162.14569,73.376781,16.704773,12.02925967,10.355376,12.758191,15.229214,16.95631133,15.85472367,18.626505,17.12080667,18.665745,17.227102,12.383006,11.58332833,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.250077667,17.102859,4.202188467,6.062032667,1.9668479,0.074339571,0.0,0,0.001850112,0.969709326,9.107617567,4.842275633,1,5,3,4,2,0,0,0,0,0,5,3,0,0,7,19,31,30,31,31,30,31,14,0,8.152256667,11.94869,16.10869,20.58524333,24.67331333,31.14089667,33.36446,32.28665333,29.79935333,25.88079,17.48768,11.79049667,2.689873333,7.1562,9.845556667,13.03811333,15.88795,23.17073333,24.41674667,24.22013667,21.27421,18.19020667,12.10833667,6.844233333,0.39571,4.12009,6.876126667,9.269446667,12.51884,19.87865333,21.85703667,22.60351667,19.37652667,16.07718,9.17328,4.858673333,5.827473333,9.67212,12.80571,17.26228333,20.5583,26.84758,26.89944667,26.17215667,23.42811667,20.70965333,15.60638333,10.07157333,0,0,0,2,6,28,31,31,20,5,0,0,14.71911667,17.51156,22.60377333,28.26732333,32.84427667,39.02547,43.04327,41.34095333,39.93996333,35.41729333,24.49135333,18.42757667,11.12528667,14.28915,19.72771667,22.19051667,27.67989333,36.5096,41.68989333,38.89764333,37.03588667,32.89603333,21.50531,15.24073,17.94520667,20.96911667,25.83472667,35.50464667,38.86732,41.92527667,44.77673333,43.92518,42.1508,38.81035667,28.52911333,21.73893333,3,214.89976006,177.57723677
4,40.75,32.75,Kızılcahamam,2024,5.151926833,16.54726167,40.736085,118.1094067,147.02264,194.0309833,206.6666667,206.28544,192.4984433,125.0159,60.78882,6.301483233,9.334934667,9.906076167,11.94543683,13.95600983,15.69057517,15.60785717,18.37807933,15.97048367,19.12080367,17.702997,15.76988067,15.75697267,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.077325333,10.97053767,15.32648667,6.41752,3.119600333,0.036887184,0.0,0,0.0,0.029591484,2.743350667,2.175755833,6,5,5,4,1,0,0,0,0,0,2,1,0,0,1,27,31,30,31,31,30,31,15,0,9.966553333,11.8359,13.88262667,21.96095667,24.39556,31.28129667,33.46400667,33.55336667,30.00986,22.38768,16.22887333,10.33352667,5.425006667,7.121676667,7.937286667,14.88066667,16.35817333,23.55324333,24.7305,25.98797667,21.34107667,14.71037333,9.33825,3.743976667,3.181023333,5.035383333,5.195386667,11.49352,12.30182667,20.90827333,22.89384333,23.43313,18.07791,11.30584667,5.677196667,1.150623333,7.45216,9.6722,11.05033333,19.79516333,21.61185667,28.14824333,26.71764667,28.17729,23.84053667,17.10338333,12.03606667,6.083296667,0,0,0,2,7,27,31,31,19,2,0,0,14.75994,17.02776,19.88271,28.83666667,32.04875667,39.16109,43.10858,41.95846667,40.46186667,32.41338333,25.10813,19.50095667,12.21487667,14.04741667,15.51037333,23.21908667,27.45734,35.81261333,40.22179667,39.28390667,37.23685667,28.03452333,21.49729333,16.20902,18.14255333,19.35070667,23.19796,33.32187,38.42451667,43.13614333,45.95969,44.15934667,42.29057,35.31225333,27.72890333,22.57498,3,214.88028244,189.54461582
5,40.75,32.75,Kızılcahamam,2025,6.295166067,18.35811333,67.820344,100.0981053,193.3098567,197.08486,205.7784133,206.6666667,191.84313,162.0736033,74.65468333,3.95283,14.64554833,12.51993367,12.341071,14.008685,16.76068417,16.80158833,17.32824633,16.76441533,18.07161233,16.63618067,11.636499,12.01186267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.147921967,8.1478092,13.38413877,9.143243667,2.131879167,0.003127387,0.0,0,0.000412804,0.86091951,8.619571133,5.553369067,0,4,9,7,1,0,0,0,0,1,4,4,0,0,6,21,31,30,31,31,30,31,14,0,10.22119,12.12179,16.7004,20.15981667,29.28935,31.80267667,33.43752333,32.68411,29.76235,25.92333,17.61547,9.493493333,3.836753333,6.283363333,10.57300667,13.15171,20.81328333,23.55588667,25.10114667,24.76328333,21.42136667,18.54209667,12.64267,4.110133333,1.148913333,4.15236,7.43932,10.63990333,17.30834,20.97527333,22.68545667,22.47081333,19.35265667,17.03982333,10.00805667,1.198666667,5.8876,8.18993,14.72600667,15.90383667,23.72110333,26.16650333,28.76155667,27.11703333,23.36360333,20.29401333,15.14575,8.563996667,0,0,0,0,21,28,31,31,24,6,0,0,18.48232333,18.80329,22.91408,27.16036667,37.57398,40.35752,42.4294,41.52770667,39.49297,35.17829,24.27916333,16.122,14.19654667,14.72825667,19.56463,23.11575333,34.24482333,37.16679,39.60859667,39.94901667,37.13098,32.89331667,21.50986667,12.12557333,21.42388,21.92536333,26.18556,32.01266667,40.11125333,43.16285333,46.97811667,43.86862,41.88213333,37.06137333,26.66933333,19.76881,3,214.8963163,193.35905028
6,40.75,32.75,Kızılcahamam,2026,2.390574147,17.11649557,77.59679233,128.95417,167.6396267,193.7833833,206.6666667,206.6666667,192.0538833,160.04647,85.15616,5.954620333,12.45457833,10.24114367,12.40617967,16.69033867,16.30631083,16.17721067,17.428498,17.01486567,17.092868,15.18336067,15.29141533,12.10505167,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.295580667,11.29957933,5.316426333,1.8719368,1.203644513,0.03042457,0.0,0,0.027535733,0.250283607,2.905368667,4.000783667,1,8,3,1,1,0,0,0,0,0,2,2,0,0,12,28,31,30,31,31,30,31,23,0,8.584773333,12.01788,17.55956,23.04540667,26.55835333,30.53703667,33.04114,34.09089667,30.23208,25.72908333,18.53499667,9.51102,3.03548,7.15085,11.48233,14.64430667,18.24965333,22.45694333,24.54233,26.08694333,22.48074333,19.00583333,11.75183,4.27891,1.135523333,4.562566667,9.003133333,11.75737667,14.80811667,19.90189667,22.85815333,23.94302667,20.86235667,16.83269,6.138963333,-0.345306667,5.455583333,9.30024,14.52486667,18.86309667,21.85603667,24.38057333,26.37225667,27.91777333,24.36300333,21.56598,16.0501,7.363766667,0,0,0,0,3,27,31,31,25,7,1,0,15.49004333,17.39197667,23.88852333,31.33465,34.55594667,38.63414667,41.97083333,43.10178667,39.57361,34.18918667,27.04324333,16.38397333,11.99103,14.33209667,20.28128,26.04207333,29.90362,35.59102667,40.00777667,40.63470333,35.78131667,31.63723667,23.36152,12.44147667,19.0941,20.16596333,28.65401333,37.71295333,39.31109667,41.85775333,44.03899,45.02791,42.42565,38.05182667,28.84424333,21.05479,3,214.88094959,191.71853175
7,40.75,32.75,Kızılcahamam,2027,23.96263633,21.86931367,78.64516333,127.0408333,180.8262633,197.27008,206.6666667,206.5505567,193.5098167,160.0543633,81.67111333,19.9550584,11.79178733,13.79738433,12.97387167,14.2831635,16.23920133,16.467628,17.70174267,16.297319,17.356082,15.554139,11.66956933,8.688648433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3.527752,2.380205667,13.40429863,2.716463667,5.532499333,0.012938609,0.0,0,0.00036173,1.321129763,5.6990705,21.49999883,1,1,7,1,2,0,0,0,0,1,3,8,1,0,13,27,31,30,31,31,30,31,15,0,12.20000333,12.50498667,17.68581333,22.88637333,28.81673,32.32474333,34.64731667,32.61095,30.43314667,25.67489667,18.31710667,11.41881667,6.835326667,5.882433333,11.21260667,15.66965333,20.60640333,24.11970333,26.24108,24.84742333,22.76120333,18.81212,13.41657,7.417003333,2.6788,3.599316667,7.65395,11.62028,17.49237,21.83966667,23.62843333,23.22164333,20.83361667,16.08671,11.86813333,3.974903333,10.36041,7.526483333,14.83459333,20.96345,23.52664333,27.11248667,27.77250667,27.14579333,25.11601,21.62389333,15.38989333,10.43406667,0,0,0,3,18,29,31,31,27,8,0,0,18.62715,19.67982,24.18649,29.95283,36.84561,40.58734,43.94283,41.14473,40.11728,34.36628333,25.08613,16.10567667,14.08391667,16.93563667,20.97751,24.99357,32.06710667,37.81041667,41.04063,38.4015,36.31814,31.84511333,20.38588333,11.97786333,24.67638,23.04869667,27.35247667,35.98203,40.96504667,43.67300333,46.07164667,43.85117667,41.74354667,37.48646667,28.85304667,20.62799333,3,214.88599734,184.0763435
8,40.75,32.75,Kızılcahamam,2028,7.798360167,19.22658267,46.736187,119.0085433,172.3233767,194.7757033,205.8628533,206.6666667,190.1027833,132.8072333,61.97402,20.0136104,8.063155,13.56660133,14.4714145,14.526101,15.15774967,16.25275567,15.49030767,15.805961,18.16442167,16.82522333,14.31869233,11.969795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.596975333,1.131490853,3.961243,9.687162433,3.061585433,0.0,0.0,0,0.0,1.225542412,3.160257667,5.969480533,3,0,3,5,3,0,0,0,0,1,1,3,0,0,9,26,31,30,31,31,30,31,12,2,10.73141,11.95445667,14.15503,22.05084,26.84506333,30.39502667,32.09453333,32.75838667,29.27155,23.06345,16.3474,11.63766667,6.86383,5.579216667,7.065256667,14.59474667,19.20507,22.36288333,24.62816667,25.35471667,21.06220333,15.77172667,9.926693333,6.499346667,4.613953333,2.879903333,3.615973333,11.56246667,16.95841333,20.21905333,22.23805,23.06823333,19.26474667,14.25663667,8.207273333,3.331736667,9.66202,7.942816667,10.45201667,18.55402333,21.62149,24.96239333,27.2647,27.55593,23.02825,17.7588,11.74530333,10.53644333,0,0,0,0,8,29,31,31,18,0,0,0,14.92699,19.14581667,21.53666333,29.12085,34.36283667,38.61566667,40.11847333,41.16066667,39.22662333,32.59696333,24.24536,18.46916667,12.72792333,15.67771,16.02911667,24.24344333,31.15981667,36.05172,38.50903333,39.40168,37.70308333,30.94853333,21.59,14.59641667,17.63667667,22.07156333,25.89905667,34.74649667,37.53474,41.43422333,42.10604,43.11688,40.64194,34.69941,26.58872333,22.76070667,3,214.887932,180.05280455
9,40.75,32.75,Kızılcahamam,2029,2.382263167,20.41976947,56.459756,102.5362247,174.6838267,193.1599133,204.7418233,206.6156,194.96865,160.0339967,66.77458533,23.40807067,10.447977,11.713413,14.35624633,12.258196,15.428963,16.586394,16.397277,15.799373,17.51433967,16.427938,12.37451,7.944757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.440506667,4.718096833,1.0134215,26.7706148,1.87661536,0.006958427,0.0,0,0.0,0.84816989,13.24897,11.2439315,2,4,1,13,0,0,0,0,0,0,3,8,0,0,9,22,31,30,31,31,30,31,11,0,9.24065,12.137,15.48818333,20.40359667,27.2239,31.07954333,31.69814,32.97593667,30.50234,25.68799333,16.82743667,12.25547333,4.488623333,6.542363333,8.341013333,14.31714667,19.35318667,22.91986333,23.76105667,25.54111,22.61676667,18.39117667,11.27914,8.662176667,1.663676667,3.892983333,3.035246667,10.76106667,15.54371,21.14592667,21.00678667,23.39784667,21.10310333,16.19268,7.736213333,4.856223333,7.054393333,9.136576667,11.55790333,17.84444,21.82168333,25.07243,25.94802667,28.14456,24.22036667,20.90797,14.29364667,11.77873333,0,0,0,0,15,27,30,31,24,3,0,0,14.9366,18.25579,22.69724667,26.57536,34.78212667,39.50626667,40.15832333,41.34046333,40.13113,34.81909333,23.65364667,16.60694333,11.37071,14.05711333,16.71610333,22.25029667,32.09133333,36.13024,36.61248667,38.50494667,37.47573,30.83119667,19.17807333,12.66986667,18.37329667,21.02015333,28.60391,30.18349,38.21647333,42.41245667,42.68208,43.81334667,42.80062,39.30591667,27.27444333,19.23346667,3,214.89468089,158.64857542
